Age,Sexe,Profession,Type_logement,Compte_epargne,Compte_courant,Credit_amount,Duration
34,homme,qualifié,propriétaire,moins de 3000,moins de 500,3965,42
51,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,4771,11
39,homme,non qualifié,propriétaire,,,9436,54
22,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,3832,30
44,femme,qualifié,propriétaire,,,5943,24
47,homme,qualifié,propriétaire,plus de 30000,,1213,15
24,femme,non qualifié,location,entre 3000 et 10000,,1568,18
58,femme,non qualifié,propriétaire,moins de 3000,moins de 500,1755,24
52,homme,non qualifié,propriétaire,moins de 3000,moins de 500,2315,10
29,femme,hautement qualifié,propriétaire,moins de 3000,,1412,12
27,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1295,18
47,homme,qualifié,gratuit,entre 3000 et 10000,entre 500 et 3000,12612,36
30,homme,hautement qualifié,propriétaire,entre 3000 et 10000,moins de 500,2249,18
28,homme,qualifié,propriétaire,moins de 3000,moins de 500,1108,12
56,homme,qualifié,propriétaire,moins de 3000,,618,12
54,homme,qualifié,propriétaire,moins de 3000,moins de 500,1409,12
33,femme,non qualifié,propriétaire,,,797,12
20,homme,qualifié,location,,plus de 3000,3617,24
54,homme,qualifié,propriétaire,entre 10000 et 30000,entre 500 et 3000,1318,12
58,homme,qualifié,location,moins de 3000,entre 500 et 3000,15945,54
61,femme,qualifié,propriétaire,,,2012,12
34,homme,qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,2622,18
36,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,2337,36
36,homme,hautement qualifié,location,,entre 500 et 3000,7057,20
41,homme,non qualifié,location,entre 3000 et 10000,,1469,24
24,homme,qualifié,location,moins de 3000,entre 500 et 3000,2323,36
24,femme,qualifié,propriétaire,moins de 3000,,932,6
35,homme,qualifié,location,moins de 3000,entre 500 et 3000,1919,9
26,homme,qualifié,location,,,2445,12
39,homme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,11938,24
39,homme,hautement qualifié,propriétaire,moins de 3000,,6458,18
32,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,6078,12
30,femme,qualifié,propriétaire,,moins de 500,7721,24
35,homme,qualifié,propriétaire,plus de 30000,entre 500 et 3000,1410,14
31,homme,qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,1449,6
23,femme,qualifié,location,moins de 3000,plus de 3000,392,15
28,homme,non qualifié,location,moins de 3000,entre 500 et 3000,6260,18
25,femme,qualifié,propriétaire,moins de 3000,,7855,36
35,homme,qualifié,propriétaire,plus de 30000,moins de 500,1680,12
47,homme,qualifié,propriétaire,,,3578,48
30,femme,hautement qualifié,propriétaire,,moins de 500,7174,42
27,femme,qualifié,location,,moins de 500,2132,10
23,femme,qualifié,propriétaire,plus de 30000,moins de 500,4281,33
36,homme,hautement qualifié,propriétaire,plus de 30000,entre 500 et 3000,2366,12
25,femme,qualifié,propriétaire,moins de 3000,moins de 500,1835,21
41,femme,hautement qualifié,location,moins de 3000,,3868,24
24,homme,non qualifié,location,moins de 3000,,1768,12
63,homme,qualifié,gratuit,moins de 3000,plus de 3000,781,10
27,femme,qualifié,location,,entre 500 et 3000,1924,18
30,homme,qualifié,propriétaire,moins de 3000,moins de 500,2121,12
40,homme,non qualifié,propriétaire,moins de 3000,moins de 500,701,12
30,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,639,12
34,homme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,1860,12
29,femme,qualifié,propriétaire,moins de 3000,moins de 500,3499,12
24,femme,qualifié,propriétaire,,entre 500 et 3000,8487,48
29,homme,qualifié,propriétaire,moins de 3000,moins de 500,6887,36
27,homme,non qualifié,propriétaire,moins de 3000,,2708,15
47,homme,qualifié,gratuit,moins de 3000,,1984,18
21,femme,qualifié,propriétaire,entre 3000 et 10000,,10144,60
38,femme,qualifié,propriétaire,,,1240,12
27,homme,qualifié,propriétaire,entre 10000 et 30000,,8613,27
66,homme,non qualifié,propriétaire,plus de 30000,entre 500 et 3000,766,12
35,homme,qualifié,propriétaire,,entre 500 et 3000,2728,15
44,femme,non qualifié,location,moins de 3000,plus de 3000,1881,12
27,homme,non qualifié,propriétaire,entre 10000 et 30000,plus de 3000,709,6
30,femme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,4795,36
27,homme,hautement qualifié,propriétaire,moins de 3000,moins de 500,3416,27
22,homme,qualifié,propriétaire,moins de 3000,moins de 500,2462,18
23,femme,qualifié,propriétaire,moins de 3000,,2288,21
30,homme,qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,3566,48
39,femme,qualifié,propriétaire,moins de 3000,moins de 500,860,6
51,femme,qualifié,propriétaire,entre 3000 et 10000,,682,12
28,homme,qualifié,propriétaire,moins de 3000,moins de 500,5371,36
46,homme,qualifié,propriétaire,entre 10000 et 30000,,1582,18
42,homme,qualifié,gratuit,entre 3000 et 10000,,1346,6
38,homme,qualifié,propriétaire,moins de 3000,,1924,10
24,homme,qualifié,propriétaire,moins de 3000,plus de 3000,5848,36
29,femme,qualifié,location,entre 10000 et 30000,entre 500 et 3000,7758,24
36,homme,hautement qualifié,location,entre 3000 et 10000,entre 500 et 3000,6967,24
20,femme,qualifié,location,moins de 3000,moins de 500,1282,12
48,homme,qualifié,propriétaire,entre 3000 et 10000,moins de 500,1288,9
45,homme,non qualifié,propriétaire,moins de 3000,moins de 500,339,12
38,homme,qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,3512,24
34,homme,non qualifié,propriétaire,,,1898,6
36,homme,qualifié,propriétaire,entre 3000 et 10000,,2872,24
30,femme,qualifié,propriétaire,moins de 3000,,1055,18
36,homme,qualifié,propriétaire,plus de 30000,,1262,15
70,homme,hautement qualifié,gratuit,moins de 3000,entre 500 et 3000,7308,10
36,homme,qualifié,propriétaire,plus de 30000,,909,36
32,homme,qualifié,propriétaire,plus de 30000,,2978,6
33,femme,qualifié,propriétaire,moins de 3000,moins de 500,1131,18
20,femme,qualifié,propriétaire,entre 10000 et 30000,entre 500 et 3000,1577,11
25,femme,qualifié,location,moins de 3000,,3972,24
31,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1935,24
33,homme,qualifié,location,moins de 3000,moins de 500,950,15
26,femme,qualifié,propriétaire,moins de 3000,,763,12
34,femme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,2064,24
33,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1414,8
26,homme,qualifié,propriétaire,moins de 3000,moins de 500,3414,21
53,femme,hautement qualifié,propriétaire,,,7485,30
42,homme,qualifié,propriétaire,moins de 3000,moins de 500,2577,12
52,homme,qualifié,propriétaire,plus de 30000,moins de 500,338,6
31,homme,hautement qualifié,location,moins de 3000,,1963,12
65,homme,qualifié,propriétaire,moins de 3000,moins de 500,571,21
28,homme,qualifié,propriétaire,moins de 3000,,9572,36
30,homme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,4455,36
40,homme,non qualifié,propriétaire,,moins de 500,1647,21
50,homme,qualifié,propriétaire,entre 10000 et 30000,,3777,24
36,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,884,18
31,homme,qualifié,propriétaire,moins de 3000,,1360,15
74,femme,hautement qualifié,gratuit,moins de 3000,entre 500 et 3000,5129,9
68,homme,non qualifié,gratuit,moins de 3000,entre 500 et 3000,1175,16
20,homme,qualifié,propriétaire,entre 3000 et 10000,moins de 500,674,12
33,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,3244,18
54,homme,hautement qualifié,propriétaire,entre 10000 et 30000,,4591,24
34,homme,non qualifié,gratuit,entre 3000 et 10000,entre 500 et 3000,3844,48
36,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,3915,27
29,homme,qualifié,location,moins de 3000,,2108,6
21,homme,qualifié,location,entre 3000 et 10000,entre 500 et 3000,3031,45
34,femme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,1501,9
28,femme,qualifié,propriétaire,moins de 3000,,1382,6
27,femme,qualifié,location,entre 3000 et 10000,entre 500 et 3000,951,12
36,homme,qualifié,gratuit,,entre 500 et 3000,2760,24
40,homme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,4297,18
52,homme,qualifié,propriétaire,plus de 30000,,936,9
27,homme,non qualifié,propriétaire,moins de 3000,moins de 500,1168,12
26,homme,qualifié,propriétaire,moins de 3000,,5117,27
21,homme,qualifié,location,moins de 3000,moins de 500,902,12
38,homme,non qualifié,propriétaire,moins de 3000,,1495,12
38,homme,hautement qualifié,gratuit,moins de 3000,moins de 500,10623,30
43,homme,qualifié,propriétaire,moins de 3000,,1935,12
26,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1424,12
21,homme,non qualifié,propriétaire,moins de 3000,moins de 500,6568,24
55,homme,qualifié,propriétaire,entre 10000 et 30000,,1413,12
33,homme,qualifié,propriétaire,,,3074,9
45,femme,non qualifié,propriétaire,,,3835,36
50,homme,qualifié,propriétaire,moins de 3000,moins de 500,5293,27
66,homme,hautement qualifié,propriétaire,moins de 3000,plus de 3000,1908,30
51,homme,qualifié,propriétaire,,,3342,36
39,femme,non qualifié,propriétaire,,entre 500 et 3000,932,6
31,homme,qualifié,propriétaire,moins de 3000,moins de 500,3104,18
23,homme,qualifié,propriétaire,moins de 3000,plus de 3000,3913,36
24,homme,non qualifié,location,moins de 3000,moins de 500,3021,24
64,femme,qualifié,propriétaire,moins de 3000,,1364,10
26,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,625,12
23,femme,qualifié,location,,moins de 500,1200,12
30,homme,qualifié,propriétaire,moins de 3000,,707,12
32,homme,qualifié,propriétaire,,,2978,24
30,homme,qualifié,propriétaire,moins de 3000,,4657,15
27,homme,qualifié,propriétaire,moins de 3000,,2613,36
27,homme,qualifié,propriétaire,entre 10000 et 30000,entre 500 et 3000,10961,48
53,homme,hautement qualifié,gratuit,moins de 3000,moins de 500,7865,12
22,homme,qualifié,propriétaire,moins de 3000,,1478,9
22,homme,qualifié,gratuit,moins de 3000,moins de 500,3149,24
26,homme,qualifié,propriétaire,moins de 3000,plus de 3000,4210,36
51,homme,non qualifié,gratuit,plus de 30000,,2507,9
35,homme,qualifié,propriétaire,entre 3000 et 10000,,2141,12
25,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,866,18
42,homme,non qualifié,propriétaire,moins de 3000,,1544,4
30,homme,hautement qualifié,propriétaire,moins de 3000,moins de 500,1823,24
23,homme,non qualifié,propriétaire,,entre 500 et 3000,14555,6
61,homme,non qualifié,location,entre 3000 et 10000,entre 500 et 3000,2767,21
35,femme,qualifié,propriétaire,moins de 3000,,1291,12
39,homme,qualifié,propriétaire,moins de 3000,moins de 500,2522,30
29,femme,qualifié,propriétaire,,moins de 500,915,24
51,homme,qualifié,propriétaire,moins de 3000,,1595,6
24,homme,qualifié,gratuit,moins de 3000,moins de 500,4605,48
27,femme,qualifié,propriétaire,moins de 3000,,1185,12
35,femme,non qualifié,propriétaire,plus de 30000,,3447,12
25,homme,qualifié,propriétaire,moins de 3000,,1258,24
52,homme,qualifié,propriétaire,moins de 3000,,717,12
35,homme,qualifié,location,entre 3000 et 10000,,1204,6
26,homme,qualifié,propriétaire,moins de 3000,plus de 3000,1925,24
22,femme,qualifié,location,moins de 3000,,433,18
39,femme,non qualifié,propriétaire,entre 10000 et 30000,moins de 500,666,6
46,femme,non qualifié,propriétaire,moins de 3000,plus de 3000,2251,12
24,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,2150,30
35,homme,qualifié,propriétaire,entre 3000 et 10000,,4151,24
24,homme,qualifié,propriétaire,,entre 500 et 3000,2030,9
27,homme,non qualifié,propriétaire,,entre 500 et 3000,7418,60
35,homme,non qualifié,propriétaire,moins de 3000,,2684,24
29,homme,qualifié,gratuit,moins de 3000,moins de 500,2149,12
23,femme,qualifié,propriétaire,entre 3000 et 10000,,3812,15
57,femme,non qualifié,propriétaire,entre 3000 et 10000,,1154,11
27,homme,qualifié,propriétaire,moins de 3000,moins de 500,1657,12
55,femme,qualifié,propriétaire,moins de 3000,moins de 500,1603,24
36,homme,hautement qualifié,gratuit,moins de 3000,moins de 500,5302,18
57,femme,non qualifié,gratuit,moins de 3000,,2748,12
32,homme,non qualifié,propriétaire,moins de 3000,,1231,10
37,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,802,15
36,homme,qualifié,propriétaire,,,6304,36
38,femme,qualifié,propriétaire,moins de 3000,,1533,24
45,homme,hautement qualifié,propriétaire,moins de 3000,moins de 500,8978,14
25,homme,qualifié,propriétaire,,,999,24
32,homme,qualifié,propriétaire,,,2662,18
37,femme,qualifié,location,plus de 30000,,1402,12
36,homme,hautement qualifié,gratuit,,entre 500 et 3000,12169,48
28,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,3060,48
34,homme,non qualifié,propriétaire,moins de 3000,moins de 500,11998,30
32,homme,qualifié,propriétaire,moins de 3000,,2697,9
26,femme,qualifié,propriétaire,moins de 3000,,2404,18
49,homme,non qualifié,propriétaire,,moins de 500,1262,12
32,femme,qualifié,propriétaire,moins de 3000,,4611,6
29,homme,hautement qualifié,location,entre 3000 et 10000,,1901,24
23,homme,qualifié,location,entre 10000 et 30000,,3368,15
50,homme,qualifié,propriétaire,moins de 3000,,1574,12
49,homme,non qualifié,propriétaire,,plus de 3000,1445,18
63,homme,qualifié,propriétaire,,,1520,15
37,homme,qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,3878,24
35,femme,non qualifié,propriétaire,moins de 3000,moins de 500,10722,47
26,homme,qualifié,propriétaire,moins de 3000,moins de 500,4788,48
31,homme,hautement qualifié,gratuit,entre 3000 et 10000,entre 500 et 3000,7582,48
49,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1092,12
48,homme,qualifié,propriétaire,moins de 3000,moins de 500,1024,24
26,homme,qualifié,propriétaire,moins de 3000,,1076,12
28,homme,hautement qualifié,location,moins de 3000,entre 500 et 3000,9398,36
44,femme,hautement qualifié,gratuit,moins de 3000,moins de 500,6419,24
56,homme,qualifié,gratuit,moins de 3000,plus de 3000,4796,42
46,homme,hautement qualifié,propriétaire,,,7629,48
26,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,9960,48
20,femme,qualifié,location,,,4675,12
45,homme,non qualifié,propriétaire,,,1287,10
43,homme,qualifié,propriétaire,moins de 3000,,2515,18
32,homme,qualifié,propriétaire,entre 10000 et 30000,entre 500 et 3000,2745,21
54,femme,non qualifié,propriétaire,moins de 3000,,672,6
42,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,3804,36
37,homme,non qualifié,propriétaire,,plus de 3000,1344,24
49,homme,qualifié,propriétaire,moins de 3000,moins de 500,1038,10
44,homme,qualifié,gratuit,plus de 30000,,10127,48
33,homme,qualifié,propriétaire,entre 10000 et 30000,,1543,6
24,femme,non qualifié,location,,,4811,30
33,homme,non qualifié,propriétaire,entre 3000 et 10000,moins de 500,727,12
24,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1237,8
22,homme,non qualifié,location,moins de 3000,entre 500 et 3000,276,9
40,homme,non qualifié,gratuit,,entre 500 et 3000,5381,48
25,homme,qualifié,propriétaire,entre 3000 et 10000,,5511,24
26,femme,qualifié,propriétaire,moins de 3000,plus de 3000,3749,24
25,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,685,12
29,homme,non qualifié,propriétaire,,plus de 3000,1494,4
31,homme,qualifié,propriétaire,moins de 3000,moins de 500,2746,36
38,homme,non qualifié,propriétaire,moins de 3000,moins de 500,708,12
48,femme,non qualifié,propriétaire,,entre 500 et 3000,4351,24
32,homme,qualifié,propriétaire,moins de 3000,,701,12
27,femme,non qualifié,propriétaire,moins de 3000,moins de 500,3643,15
28,homme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,4249,30
32,homme,qualifié,propriétaire,moins de 3000,moins de 500,1938,24
34,homme,hautement qualifié,gratuit,moins de 3000,moins de 500,2910,24
28,homme,qualifié,propriétaire,entre 10000 et 30000,moins de 500,2659,18
36,femme,qualifié,propriétaire,moins de 3000,,1028,18
39,homme,non qualifié,propriétaire,moins de 3000,moins de 500,3398,8
49,homme,qualifié,location,,,5801,12
34,femme,qualifié,propriétaire,entre 10000 et 30000,,1525,24
31,homme,qualifié,propriétaire,moins de 3000,plus de 3000,4473,36
28,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1068,6
75,homme,hautement qualifié,gratuit,moins de 3000,moins de 500,6615,24
30,femme,qualifié,propriétaire,entre 3000 et 10000,,1864,18
24,femme,hautement qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,7408,60
24,femme,non qualifié,location,entre 3000 et 10000,,11590,48
23,homme,qualifié,location,moins de 3000,moins de 500,4110,24
44,homme,hautement qualifié,location,moins de 3000,moins de 500,3384,6
23,femme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,2101,13
24,femme,qualifié,location,,moins de 500,1275,15
28,homme,qualifié,propriétaire,moins de 3000,moins de 500,4169,24
31,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,1521,10
24,femme,qualifié,gratuit,moins de 3000,entre 500 et 3000,5743,24
26,femme,non qualifié,location,moins de 3000,moins de 500,3599,21
25,homme,qualifié,location,plus de 30000,entre 500 et 3000,3213,18
33,homme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,4439,18
37,homme,non qualifié,propriétaire,moins de 3000,plus de 3000,3949,10
43,femme,non qualifié,propriétaire,moins de 3000,,1459,15
23,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,882,13
23,femme,non qualifié,location,plus de 30000,entre 500 et 3000,3758,24
34,homme,non qualifié,propriétaire,entre 3000 et 10000,,1743,6
32,homme,qualifié,gratuit,entre 10000 et 30000,entre 500 et 3000,1136,9
23,femme,qualifié,location,moins de 3000,,1236,9
29,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,959,9
38,homme,hautement qualifié,propriétaire,,,3229,18
28,homme,qualifié,location,moins de 3000,moins de 500,6199,12
46,homme,qualifié,gratuit,plus de 30000,,727,10
23,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,1246,24
49,homme,qualifié,propriétaire,,,2331,12
26,homme,hautement qualifié,propriétaire,moins de 3000,,4463,36
28,homme,qualifié,propriétaire,moins de 3000,,776,12
23,femme,qualifié,location,moins de 3000,moins de 500,2406,30
61,homme,qualifié,gratuit,,entre 500 et 3000,1239,18
37,homme,hautement qualifié,propriétaire,,plus de 3000,3399,12
36,femme,qualifié,propriétaire,moins de 3000,plus de 3000,2247,12
21,homme,qualifié,location,moins de 3000,,1766,6
25,homme,non qualifié,propriétaire,moins de 3000,moins de 500,2473,18
36,homme,qualifié,propriétaire,moins de 3000,,1542,12
27,homme,qualifié,propriétaire,moins de 3000,,3850,18
22,femme,qualifié,location,moins de 3000,moins de 500,3650,18
42,homme,qualifié,propriétaire,moins de 3000,moins de 500,3446,36
40,femme,qualifié,location,moins de 3000,entre 500 et 3000,3001,18
36,homme,qualifié,propriétaire,,,3079,36
33,homme,qualifié,propriétaire,moins de 3000,,6070,18
23,femme,qualifié,location,moins de 3000,,2146,10
63,homme,hautement qualifié,gratuit,,,13756,60
60,femme,hautement qualifié,gratuit,entre 3000 et 10000,entre 500 et 3000,14782,60
37,femme,qualifié,location,moins de 3000,moins de 500,7685,48
34,homme,qualifié,propriétaire,moins de 3000,,2320,18
36,homme,qualifié,gratuit,,,846,7
57,homme,hautement qualifié,gratuit,moins de 3000,entre 500 et 3000,14318,36
52,femme,non qualifié,propriétaire,entre 3000 et 10000,,362,6
39,homme,qualifié,propriétaire,,moins de 500,2212,20
38,femme,hautement qualifié,gratuit,moins de 3000,entre 500 et 3000,12976,18
25,femme,qualifié,location,,,1283,22
26,homme,qualifié,propriétaire,moins de 3000,plus de 3000,1330,12
26,homme,non qualifié,propriétaire,entre 3000 et 10000,,4272,30
25,femme,qualifié,propriétaire,moins de 3000,,2238,18
21,femme,qualifié,location,,,1126,18
40,homme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,7374,18
27,homme,qualifié,propriétaire,plus de 30000,entre 500 et 3000,2326,15
27,femme,qualifié,propriétaire,moins de 3000,,1449,9
30,homme,hautement qualifié,propriétaire,moins de 3000,,1820,18
19,femme,non qualifié,location,entre 10000 et 30000,entre 500 et 3000,983,12
39,homme,hautement qualifié,gratuit,moins de 3000,moins de 500,3249,36
31,femme,qualifié,propriétaire,moins de 3000,moins de 500,1957,6
31,homme,hautement qualifié,propriétaire,moins de 3000,,2406,9
32,homme,qualifié,location,entre 3000 et 10000,entre 500 et 3000,11760,39
55,femme,hautement qualifié,gratuit,moins de 3000,moins de 500,2578,12
46,homme,qualifié,propriétaire,moins de 3000,moins de 500,2348,36
46,homme,qualifié,location,moins de 3000,entre 500 et 3000,1223,12
43,femme,non qualifié,propriétaire,entre 10000 et 30000,,1516,24
39,homme,qualifié,propriétaire,moins de 3000,,1473,18
28,homme,qualifié,propriétaire,,entre 500 et 3000,1887,18
27,homme,qualifié,propriétaire,moins de 3000,,8648,24
27,homme,non qualifié,propriétaire,moins de 3000,,802,14
43,homme,qualifié,propriétaire,,entre 500 et 3000,2899,18
22,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,2039,24
43,homme,qualifié,propriétaire,,,2197,24
27,homme,qualifié,propriétaire,moins de 3000,moins de 500,1053,15
26,homme,hautement qualifié,propriétaire,plus de 30000,,3235,24
28,homme,qualifié,propriétaire,plus de 30000,plus de 3000,939,12
20,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1967,24
35,homme,hautement qualifié,propriétaire,moins de 3000,,7253,33
42,homme,hautement qualifié,propriétaire,moins de 3000,,2292,12
40,homme,non qualifié,location,plus de 30000,,1597,10
35,femme,qualifié,propriétaire,,moins de 500,1381,24
35,homme,qualifié,propriétaire,moins de 3000,,5842,36
33,homme,non qualifié,propriétaire,moins de 3000,moins de 500,2579,12
23,femme,qualifié,location,,moins de 500,8471,18
31,femme,hautement qualifié,propriétaire,plus de 30000,,2782,21
33,femme,qualifié,propriétaire,,entre 500 et 3000,1042,18
20,femme,qualifié,location,entre 10000 et 30000,,3186,15
30,homme,qualifié,propriétaire,,entre 500 et 3000,2028,12
47,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,958,12
34,homme,hautement qualifié,propriétaire,entre 3000 et 10000,,1591,21
25,femme,qualifié,propriétaire,,entre 500 et 3000,2762,12
21,homme,qualifié,location,moins de 3000,entre 500 et 3000,2779,18
29,homme,qualifié,propriétaire,moins de 3000,,2743,28
